Type,Time,x,y,z,Action
Accel,2.255712,-5019.0,23470.0,7634.0,Neutral
Gyro,2.255712,-13.529002,-18.567438,-19.57518,Neutral
Accel,2.279856,-5591.0,27582.0,7211.0,Neutral
Gyro,2.296399,-13.811018,-18.471643,-18.311039,Neutral
Accel,2.314603,-8369.0,26687.0,7139.0,Neutral
Gyro,2.314603,-15.035475,-19.277781,-14.932572,Neutral
Accel,2.331379,-11699.0,22100.0,7059.0,Neutral
Gyro,2.348113,-21.207737,-20.4666,-12.251103,Neutral
Accel,2.36461,-15578.0,17427.0,5996.0,Neutral
Gyro,2.36461,-29.427649,-23.855116,-8.140183,Neutral
Accel,2.383707,-25273.0,10737.0,2789.0,Neutral
Gyro,2.383707,-47.376305,-26.376276,-4.485165,Neutral
Accel,2.414335,-24939.0,4538.0,4197.0,Neutral
Gyro,2.414335,-62.027802,-28.546284,2.15706,Neutral
Accel,2.43093,-25005.0,12752.0,5266.0,Neutral
Gyro,2.492582,-88.199348,-28.281425,6.477275,Crouch
Accel,2.492582,-26196.0,-15782.0,6594.0,Crouch
Gyro,2.492582,-102.161095,-23.648937,16.214033,Crouch
Accel,2.492582,-27253.0,-22324.0,914.0,Crouch
Gyro,2.492582,-113.087097,-19.671341,22.485985,Crouch
Accel,2.506355,-27887.0,-19877.0,4589.0,Crouch
Gyro,2.506355,-117.005463,-17.334806,22.236414,Crouch
Accel,2.547936,-27773.0,-1554.0,10906.0,Neutral
Gyro,2.547936,-121.647881,-17.750044,16.642509,Neutral
Accel,2.576454,-26835.0,-6510.0,6585.0,Neutral
Gyro,2.576454,-122.92939,-20.976959,7.598702,Neutral
Accel,2.587196,-26077.0,-10775.0,3774.0,Neutral
Gyro,2.587196,-122.441956,-24.102129,7.248987,Neutral
Accel,2.614907,-25294.0,-17870.0,2209.0,Neutral
Gyro,2.614907,-120.279739,-27.141514,10.803078,Neutral
Accel,2.631457,-24993.0,-23676.0,-860.0,Neutral
Gyro,2.668371,-113.666977,-28.32806,13.204218,Neutral
Accel,2.668371,-24331.0,-20957.0,-1861.0,Neutral
Gyro,2.668371,-107.232986,-30.993572,12.760225,Neutral
Accel,2.691659,-23710.0,-15666.0,-3742.0,Neutral
Gyro,2.691659,-95.226784,-33.565964,9.099196,Neutral
Accel,2.714274,-22933.0,-13027.0,-4191.0,Neutral
Gyro,2.714274,-86.321915,-36.888329,1.072562,Neutral
Accel,2.731148,-22730.0,-5367.0,-2946.0,Neutral
Gyro,2.731148,-72.129295,-37.782143,-4.732635,Neutral
Accel,2.763608,-22941.0,2860.0,-1892.0,Neutral
Gyro,2.763608,-62.240501,-36.857086,-13.824538,Neutral
Accel,2.779533,-23380.0,11539.0,962.0,Neutral
Gyro,2.795528,-49.183418,-34.959476,-19.523731,Neutral
Accel,2.811532,-20222.0,19113.0,3676.0,Neutral
Gyro,2.811532,-42.288437,-31.399384,-25.70689,Neutral
Accel,2.827782,-15408.0,23036.0,7302.0,Neutral
Gyro,2.849773,-33.258495,-29.620506,-28.231247,Neutral
Accel,2.88776,-13664.0,24529.0,9320.0,Neutral
Gyro,2.88776,-27.782314,-27.430836,-29.805155,Neutral
Accel,2.88776,-9466.0,24071.0,10478.0,Neutral
Gyro,2.88776,-19.93651,-26.271467,-29.415785,Neutral
Accel,2.91014,-7136.0,23920.0,10572.0,Neutral
Gyro,2.91014,-14.876517,-24.93717,-27.16234,Neutral
Accel,2.930748,-3198.0,23099.0,10483.0,Neutral
Gyro,2.930748,-7.819663,-24.085325,-25.0958,Neutral
Accel,2.965747,-1387.0,21868.0,10145.0,Neutral
Gyro,2.965747,-4.047763,-22.752739,-21.791908,Neutral
Accel,2.982248,1365.0,15278.0,8885.0,Neutral
Gyro,2.982248,-1.049642,-21.850933,-19.679789,Neutral
Accel,3.014326,1236.0,9434.0,7622.0,Neutral
Gyro,3.014326,-1.191306,-20.378288,-16.509287,Neutral
Accel,3.030695,2291.0,-1859.0,7539.0,Neutral
Gyro,3.047077,-2.274819,-19.273651,-14.3032,Neutral
Accel,3.064515,4306.0,-6187.0,8432.0,Neutral
Gyro,3.064515,-2.440506,-18.027687,-11.620936,Neutral
Accel,3.099205,6300.0,-6466.0,10348.0,Neutral
Gyro,3.099205,-3.00742,-17.699976,-11.408813,Neutral
Accel,3.123067,4585.0,-5648.0,10271.0,Crouch
Gyro,3.123067,-3.780323,-17.239212,-13.230821,Crouch
Accel,3.131644,1773.0,-5813.0,9370.0,Crouch
Gyro,3.131644,-5.309937,-16.758907,-14.555662,Crouch
Accel,3.162546,767.0,-3949.0,9253.0,Crouch
Gyro,3.162546,-6.528844,-16.566431,-15.479138,Crouch
Accel,3.178115,-234.0,-952.0,8425.0,Crouch
Gyro,3.192582,-7.944258,-16.967497,-15.447841,Crouch
Accel,3.207275,-134.0,1831.0,8299.0,Crouch
Gyro,3.207275,-8.541647,-17.861891,-14.540463,Crouch
Accel,3.23331,-761.0,4389.0,7710.0,Crouch
Gyro,3.23331,-9.077776,-18.426561,-13.616725,Crouch
Accel,3.264442,-560.0,4668.0,7418.0,Neutral
Gyro,3.264442,-9.388505,-19.004969,-12.219104,Neutral
Accel,3.280611,-61.0,4120.0,7225.0,Neutral
Gyro,3.280611,-9.752879,-19.345098,-11.487105,Neutral
Accel,3.315075,-62.0,3179.0,7737.0,Neutral
Gyro,3.315075,-10.123748,-19.776197,-11.179659,Neutral
Accel,3.333306,-501.0,626.0,8676.0,Neutral
Gyro,3.333306,-10.897248,-20.099062,-11.601615,Neutral
Accel,3.370293,-117.0,-1343.0,9665.0,Neutral
Gyro,3.370293,-11.401131,-20.772476,-12.427426,Neutral
Accel,3.387334,3210.0,-4326.0,10214.0,Neutral
Gyro,3.387334,-11.699929,-21.432211,-12.840154,Neutral
Accel,3.403587,3706.0,-7486.0,9982.0,Neutral
Gyro,3.41906,-11.853345,-22.248753,-13.008015,Neutral
Accel,3.432186,2925.0,-11624.0,8971.0,Neutral
Gyro,3.432186,-12.401456,-22.418724,-12.974456,Neutral
Accel,3.462942,2531.0,-11853.0,8632.0,Neutral
Gyro,3.462942,-12.783512,-22.531073,-13.560172,Neutral
Accel,3.494197,3038.0,-8938.0,8087.0,Neutral
Gyro,3.494197,-12.753151,-22.570398,-14.302479,Neutral
Accel,3.523401,3370.0,-5518.0,7150.0,Neutral
Gyro,3.523401,-12.40977,-22.400099,-15.069151,Neutral
Accel,3.538179,2482.0,722.0,6440.0,Neutral
Gyro,3.538179,-11.659027,-22.010221,-15.316113,Neutral
Accel,3.567171,1677.0,4939.0,6409.0,Neutral
Gyro,3.567171,-11.116193,-20.958469,-15.714795,Neutral
Accel,3.5832,345.0,8655.0,6801.0,Neutral
Gyro,3.5832,-10.40517,-20.141115,-15.891673,Neutral
Accel,3.613918,-438.0,9496.0,6973.0,Neutral
Gyro,3.613918,-10.115646,-19.108629,-15.488813,Neutral
Accel,3.629652,-884.0,8804.0,7985.0,Neutral
Gyro,3.645828,-10.073859,-18.659006,-14.659698,Neutral
Accel,3.661506,-955.0,7303.0,8947.0,Neutral
Gyro,3.661506,-10.258247,-18.374052,-12.854572,Neutral
Accel,3.691876,-1151.0,3440.0,10269.0,Neutral
Gyro,3.691876,-10.716062,-18.325087,-11.48631,Neutral
Accel,3.708246,-707.0,-714.0,11429.0,Neutral
Gyro,3.708246,-11.116526,-18.198709,-9.525322,Neutral
Accel,3.738286,303.0,-7854.0,12647.0,Neutral
Gyro,3.738286,-12.095918,-18.033709,-8.66113,Neutral
Accel,3.752107,0.0,-11275.0,12526.0,Neutral
Gyro,3.759581,-12.645072,-17.277395,-8.345038,Neutral
Accel,3.797836,-1417.0,-13385.0,11762.0,Neutral
Gyro,3.797836,-12.530787,-16.24383,-8.689672,Neutral
Accel,3.814341,-2094.0,-11741.0,11715.0,Neutral
Gyro,3.814341,-12.423298,-14.43496,-9.866755,Neutral
Accel,3.830853,-2596.0,-10304.0,10820.0,Neutral
Gyro,3.847788,-12.474739,-13.503815,-10.727585,Neutral
Accel,3.869636,-3137.0,-7739.0,9872.0,Neutral
Gyro,3.869636,-12.534797,-12.601565,-11.174789,Neutral
Accel,3.884931,-3676.0,-2340.0,8498.0,Neutral
Gyro,3.884931,-12.383701,-12.226773,-10.987542,Neutral
Accel,3.901848,-4086.0,856.0,7993.0,Neutral
Gyro,3.918243,-12.139664,-11.819818,-10.334159,Neutral
Accel,3.954736,-4307.0,4502.0,7240.0,Neutral
Gyro,3.954736,-11.727519,-11.64274,-9.806395,Neutral
Accel,3.954736,-4348.0,5860.0,6864.0,Neutral
Gyro,3.954736,-11.50745,-11.526315,-8.982045,Neutral
Accel,3.995825,-3957.0,6800.0,6412.0,Neutral
Gyro,3.995825,-11.262998,-11.550144,-8.454744,Neutral
Accel,4.012763,-4245.0,5797.0,6325.0,Neutral
Gyro,4.012763,-11.216279,-11.678621,-7.837453,Neutral
Accel,4.029356,-4361.0,3728.0,5961.0,Neutral
Gyro,4.045456,-11.406549,-11.772138,-7.735717,Neutral
Accel,4.061461,-3028.0,1215.0,5682.0,Neutral
Gyro,4.061461,-11.426018,-11.990689,-8.121428,Neutral
Accel,4.094117,-1794.0,-3921.0,7164.0,Neutral
Gyro,4.094117,-11.388557,-12.23323,-8.638573,Neutral
Accel,4.110553,-1417.0,-7768.0,8341.0,Neutral
Gyro,4.110553,-11.684438,-12.838309,-9.93972,Neutral
Accel,4.16265,-2197.0,-12818.0,8505.0,Neutral
Gyro,4.16265,-12.683152,-13.535383,-10.875355,Neutral
Accel,4.16265,-1207.0,-12731.0,8505.0,Neutral
Gyro,4.16265,-13.056684,-14.886543,-11.462955,Neutral
Accel,4.186319,-162.0,-8685.0,7810.0,Neutral
Gyro,4.186319,-12.758741,-15.773256,-11.296705,Neutral
Accel,4.206006,450.0,-4890.0,7663.0,Neutral
Gyro,4.206006,-12.365334,-16.499582,-10.948296,Neutral
Accel,4.241625,1035.0,-1689.0,7252.0,Neutral
Gyro,4.241625,-11.998243,-16.66449,-11.021363,Neutral
Accel,4.257806,850.0,-1581.0,6729.0,Neutral
Gyro,4.257806,-12.064075,-16.664219,-11.199311,Neutral
Accel,4.290576,191.0,-202.0,6296.0,Neutral
Gyro,4.290576,-12.410223,-16.5294,-11.142339,Neutral
Accel,4.306809,-854.0,1268.0,6319.0,Neutral
Gyro,4.306809,-12.523583,-16.167309,-10.979876,Neutral
Accel,4.337827,-944.0,3286.0,6412.0,Neutral
