Type,Time,x,y,z,Action
Gyro,2.418346,-92.226326,-32.494324,-3.572226,Neutral
Accel,2.452835,614.000000,8914.000000,6500.000000,Neutral
Gyro,2.452835,-92.028229,-31.265160,-2.557311,Neutral
Accel,2.469207,52.000000,5107.000000,7092.000000,Neutral
Gyro,2.469207,-91.949104,-30.714266,-1.379446,Neutral
Accel,2.486077,983.000000,2179.000000,7618.000000,Neutral
Gyro,2.522331,-91.904190,-30.274473,0.189772,Neutral
Accel,2.522331,4017.000000,-5473.000000,8278.000000,Neutral
Gyro,2.522331,-91.285637,-30.111305,0.694185,Neutral
Accel,2.540019,5909.000000,-14182.000000,7981.000000,Neutral
Gyro,2.540019,-90.299217,-29.728170,0.846504,Neutral
Accel,2.563781,5425.000000,-23242.000000,5081.000000,Neutral
Gyro,2.581879,-88.333160,-29.085964,0.056663,Neutral
Accel,2.598654,2081.000000,-22145.000000,2139.000000,Neutral
Gyro,2.598654,-86.551964,-27.093599,-4.004131,Neutral
Accel,2.615481,2991.000000,-14864.000000,2172.000000,Neutral
Gyro,2.615481,-83.236626,-25.508179,-7.958082,Neutral
Accel,2.648382,2665.000000,-11142.000000,1465.000000,Neutral
Gyro,2.648382,-81.564209,-23.846972,-13.594115,Neutral
Accel,2.66473,970.000000,-4833.000000,2133.000000,Neutral
Gyro,2.682386,-80.200134,-23.135313,-15.905968,Neutral
Accel,2.700132,45.000000,1133.000000,3458.000000,Neutral
Gyro,2.700132,-79.904640,-22.637991,-17.613073,Neutral
Accel,2.734669,-1951.000000,6876.000000,5314.000000,Neutral
Gyro,2.734669,-80.621582,-22.663784,-17.835003,Neutral
Accel,2.734669,-3231.000000,8461.000000,6259.000000,Neutral
Gyro,2.759907,-81.759544,-23.261971,-16.343559,Neutral
Accel,2.768812,-4025.000000,7129.000000,6790.000000,Neutral
Gyro,2.768812,-83.626091,-24.003801,-14.247325,Neutral
Accel,2.799484,-3290.000000,5749.000000,7545.000000,Neutral
Gyro,2.799484,-84.528229,-25.526442,-10.616407,Neutral
