Type,Time,x,y,z,Action
Accel,2.982248,1365.000000,15278.000000,8885.000000,Neutral
Gyro,2.982248,-1.049642,-21.850933,-19.679789,Neutral
Accel,3.014326,1236.000000,9434.000000,7622.000000,Neutral
Gyro,3.014326,-1.191306,-20.378288,-16.509287,Neutral
Accel,3.030695,2291.000000,-1859.000000,7539.000000,Neutral
Gyro,3.047077,-2.274819,-19.273651,-14.303200,Neutral
Accel,3.064515,4306.000000,-6187.000000,8432.000000,Neutral
Gyro,3.064515,-2.440506,-18.027687,-11.620936,Neutral
Accel,3.099205,6300.000000,-6466.000000,10348.000000,Neutral
Gyro,3.099205,-3.007420,-17.699976,-11.408813,Neutral
Accel,3.123067,4585.000000,-5648.000000,10271.000000,Neutral
Gyro,3.123067,-3.780323,-17.239212,-13.230821,Neutral
Accel,3.131644,1773.000000,-5813.000000,9370.000000,Neutral
Gyro,3.131644,-5.309937,-16.758907,-14.555662,Neutral
Accel,3.162546,767.000000,-3949.000000,9253.000000,Neutral
Gyro,3.162546,-6.528844,-16.566431,-15.479138,Neutral
Accel,3.178115,-234.000000,-952.000000,8425.000000,Neutral
Gyro,3.192582,-7.944258,-16.967497,-15.447841,Neutral
Accel,3.207275,-134.000000,1831.000000,8299.000000,Neutral
Gyro,3.207275,-8.541647,-17.861891,-14.540463,Neutral
Accel,3.23331,-761.000000,4389.000000,7710.000000,Neutral
Gyro,3.23331,-9.077776,-18.426561,-13.616725,Neutral
Accel,3.264442,-560.000000,4668.000000,7418.000000,Neutral
Gyro,3.264442,-9.388505,-19.004969,-12.219104,Neutral
Accel,3.280611,-61.000000,4120.000000,7225.000000,Neutral
Gyro,3.280611,-9.752879,-19.345098,-11.487105,Neutral
Accel,3.315075,-62.000000,3179.000000,7737.000000,Neutral
Gyro,3.315075,-10.123748,-19.776197,-11.179659,Neutral
Accel,3.333306,-501.000000,626.000000,8676.000000,Neutral
Gyro,3.333306,-10.897248,-20.099062,-11.601615,Neutral
Accel,3.370293,-117.000000,-1343.000000,9665.000000,Neutral
Gyro,3.370293,-11.401131,-20.772476,-12.427426,Neutral
Accel,3.387334,3210.000000,-4326.000000,10214.000000,Neutral
Gyro,3.387334,-11.699929,-21.432211,-12.840154,Neutral
Accel,3.403587,3706.000000,-7486.000000,9982.000000,Neutral
Gyro,3.41906,-11.853345,-22.248753,-13.008015,Neutral
Accel,3.432186,2925.000000,-11624.000000,8971.000000,Neutral
Gyro,3.432186,-12.401456,-22.418724,-12.974456,Neutral
Accel,3.462942,2531.000000,-11853.000000,8632.000000,Neutral
Gyro,3.462942,-12.783512,-22.531073,-13.560172,Neutral
Accel,3.494197,3038.000000,-8938.000000,8087.000000,Neutral
Gyro,3.494197,-12.753151,-22.570398,-14.302479,Neutral
Accel,3.523401,3370.000000,-5518.000000,7150.000000,Neutral
Gyro,3.523401,-12.409770,-22.400099,-15.069151,Neutral
Accel,3.538179,2482.000000,722.000000,6440.000000,Neutral
Gyro,3.538179,-11.659027,-22.010221,-15.316113,Neutral
Accel,3.567171,1677.000000,4939.000000,6409.000000,Neutral
Gyro,3.567171,-11.116193,-20.958469,-15.714795,Neutral
Accel,3.5832,345.000000,8655.000000,6801.000000,Neutral
Gyro,3.5832,-10.405170,-20.141115,-15.891673,Neutral
Accel,3.613918,-438.000000,9496.000000,6973.000000,Neutral
Gyro,3.613918,-10.115646,-19.108629,-15.488813,Neutral
Accel,3.629652,-884.000000,8804.000000,7985.000000,Neutral
Gyro,3.645828,-10.073859,-18.659006,-14.659698,Neutral
Accel,3.661506,-955.000000,7303.000000,8947.000000,Neutral
